item_id,title,genres,release_year,release_year_parse_status,item_idx
50,"Usual Suspects, The (1995)",Crime|Thriller,1995,parsed,44
52,Mighty Aphrodite (1995),Comedy,1995,parsed,45
57,Home for the Holidays (1995),Drama,1995,parsed,46
58,"Postino, Il (The Postman) (1994)",Drama|Romance,1994,parsed,47
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,1995,parsed,48
61,Eye for an Eye (1996),Drama|Thriller,1996,parsed,49
62,Mr. Holland's Opus (1995),Drama,1995,parsed,50
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,1996,parsed,51
64,Two if by Sea (1996),Comedy|Romance,1996,parsed,52
65,Bio-Dome (1996),Comedy,1996,parsed,53
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1996,parsed,54
69,Friday (1995),Comedy,1995,parsed,55
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,1996,parsed,56
71,Fair Game (1995),Action,1995,parsed,57
72,Kicking and Screaming (1995),Comedy|Drama,1995,parsed,58
73,"Misérables, Les (1995)",Drama|Musical,1995,parsed,59
74,Bed of Roses (1996),Drama|Romance,1996,parsed,60
76,Screamers (1995),Sci-Fi|Thriller,1995,parsed,61
79,"Juror, The (1996)",Drama|Thriller,1996,parsed,62
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,1995,parsed,63
82,Antonia's Line (Antonia) (1995),Drama,1995,parsed,64
85,Angels and Insects (1995),Drama|Romance,1995,parsed,65
86,White Squall (1996),Adventure|Drama,1996,parsed,66
87,Dunston Checks In (1996),Children's|Comedy,1996,parsed,67
88,Black Sheep (1996),Comedy,1996,parsed,68
89,Nick of Time (1995),Action|Thriller,1995,parsed,69
92,Mary Reilly (1996),Drama|Thriller,1996,parsed,70
93,Vampire in Brooklyn (1995),Comedy|Romance,1995,parsed,71
94,Beautiful Girls (1996),Drama,1996,parsed,72
95,Broken Arrow (1996),Action|Thriller,1996,parsed,73
100,City Hall (1996),Drama|Thriller,1996,parsed,74
101,Bottle Rocket (1996),Comedy,1996,parsed,75
104,Happy Gilmore (1996),Comedy,1996,parsed,76
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,parsed,77
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,1996,parsed,78
110,Braveheart (1995),Action|Drama|War,1995,parsed,79
111,Taxi Driver (1976),Drama|Thriller,1976,parsed,80
112,Rumble in the Bronx (1995),Action|Adventure|Crime,1995,parsed,81
117,"Young Poisoner's Handbook, The (1995)",Crime,1995,parsed,82
118,If Lucy Fell (1996),Comedy|Romance,1996,parsed,83
122,Boomerang (1992),Comedy|Romance,1992,parsed,84
123,Chungking Express (1994),Drama|Mystery|Romance,1994,parsed,85
125,Flirting With Disaster (1996),Comedy,1996,parsed,86
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,1994,parsed,87
132,Jade (1995),Thriller,1995,parsed,88
135,Down Periscope (1996),Comedy,1996,parsed,89
140,Up Close and Personal (1996),Drama|Romance,1996,parsed,90
141,"Birdcage, The (1996)",Comedy,1996,parsed,91
144,"Brothers McMullen, The (1995)",Comedy,1995,parsed,92
145,Bad Boys (1995),Action,1995,parsed,93
147,"Basketball Diaries, The (1995)",Drama,1995,parsed,94
150,Apollo 13 (1995),Drama,1995,parsed,95
151,Rob Roy (1995),Drama|Romance|War,1995,parsed,96
152,"Addiction, The (1995)",Horror,1995,parsed,97
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,parsed,98
154,Belle de jour (1967),Drama,1967,parsed,99
155,Beyond Rangoon (1995),Drama|War,1995,parsed,100
156,Blue in the Face (1995),Comedy,1995,parsed,101
157,Canadian Bacon (1994),Comedy|War,1994,parsed,102
158,Casper (1995),Adventure|Children's,1995,parsed,103
159,Clockers (1995),Drama,1995,parsed,104
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,parsed,105
161,Crimson Tide (1995),Drama|Thriller|War,1995,parsed,106
162,Crumb (1994),Documentary,1994,parsed,107
163,Desperado (1995),Action|Romance|Thriller,1995,parsed,108
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,parsed,109
165,Die Hard: With a Vengeance (1995),Action|Thriller,1995,parsed,110
166,"Doom Generation, The (1995)",Comedy|Drama,1995,parsed,111
168,First Knight (1995),Action|Adventure|Drama|Romance,1995,parsed,112
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,1995,parsed,113
170,Hackers (1995),Action|Crime|Thriller,1995,parsed,114
171,Jeffrey (1995),Comedy,1995,parsed,115
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995,parsed,116
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,1995,parsed,117
174,Jury Duty (1995),Comedy,1995,parsed,118
175,Kids (1995),Drama,1995,parsed,119
176,Living in Oblivion (1995),Comedy,1995,parsed,120
177,Lord of Illusions (1995),Horror,1995,parsed,121
180,Mallrats (1995),Comedy,1995,parsed,122
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,1995,parsed,123
185,"Net, The (1995)",Sci-Fi|Thriller,1995,parsed,124
186,Nine Months (1995),Comedy,1995,parsed,125
187,Party Girl (1995),Comedy,1995,parsed,126
188,"Prophecy, The (1995)",Horror,1995,parsed,127
190,Safe (1995),Thriller,1995,parsed,128
191,"Scarlet Letter, The (1995)",Drama,1995,parsed,129
193,Showgirls (1995),Drama,1995,parsed,130
194,Smoke (1995),Drama,1995,parsed,131
195,Something to Talk About (1995),Comedy|Drama|Romance,1995,parsed,132
196,Species (1995),Horror|Sci-Fi,1995,parsed,133
198,Strange Days (1995),Action|Crime|Sci-Fi,1995,parsed,134
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,1964,parsed,135
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995,parsed,136
204,Under Siege 2: Dark Territory (1995),Action,1995,parsed,137
205,Unstrung Heroes (1995),Comedy|Drama,1995,parsed,138
206,Unzipped (1995),Documentary,1995,parsed,139
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995,parsed,140
208,Waterworld (1995),Action|Adventure,1995,parsed,141
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,1994,parsed,142
215,Before Sunrise (1995),Drama|Romance,1995,parsed,143
216,Billy Madison (1995),Comedy,1995,parsed,144
217,"Babysitter, The (1995)",Drama|Thriller,1995,parsed,145
218,Boys on the Side (1995),Comedy|Drama,1995,parsed,146
222,Circle of Friends (1995),Drama|Romance,1995,parsed,147
223,Clerks (1994),Comedy,1994,parsed,148
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995,parsed,149
225,Disclosure (1994),Drama|Thriller,1994,parsed,150
227,Drop Zone (1994),Action,1994,parsed,151
229,Death and the Maiden (1994),Drama|Thriller,1994,parsed,152
230,Dolores Claiborne (1994),Drama|Thriller,1994,parsed,153
231,Dumb & Dumber (1994),Comedy,1994,parsed,154
232,Eat Drink Man Woman (1994),Comedy|Drama,1994,parsed,155
233,Exotica (1994),Drama,1994,parsed,156
234,Exit to Eden (1994),Comedy,1994,parsed,157
235,Ed Wood (1994),Comedy|Drama,1994,parsed,158
236,French Kiss (1995),Comedy|Romance,1995,parsed,159
237,Forget Paris (1995),Comedy|Romance,1995,parsed,160
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,1995,parsed,161
242,Farinelli: il castrato (1994),Drama|Musical,1994,parsed,162
246,Hoop Dreams (1994),Documentary,1994,parsed,163
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,1994,parsed,164
248,Houseguest (1994),Comedy,1994,parsed,165
249,Immortal Beloved (1994),Drama|Romance,1994,parsed,166
252,I.Q. (1994),Comedy|Romance,1994,parsed,167
253,Interview with the Vampire (1994),Drama|Horror,1994,parsed,168
255,"Jerky Boys, The (1994)",Comedy,1994,parsed,169
256,Junior (1994),Comedy|Sci-Fi,1994,parsed,170
257,Just Cause (1995),Mystery|Thriller,1995,parsed,171
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,1995,parsed,172
259,Kiss of Death (1995),Crime|Drama|Thriller,1995,parsed,173
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,1977,parsed,174
261,Little Women (1994),Drama,1994,parsed,175
262,"Little Princess, A (1995)",Children's|Drama,1995,parsed,176
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,1992,parsed,177
266,Legends of the Fall (1994),Drama|Romance|War|Western,1994,parsed,178
267,Major Payne (1994),Comedy,1994,parsed,179
270,Love Affair (1994),Drama|Romance,1994,parsed,180
271,Losing Isaiah (1995),Drama,1995,parsed,181
272,"Madness of King George, The (1994)",Drama,1994,parsed,182
273,Mary Shelley's Frankenstein (1994),Drama|Horror,1994,parsed,183
275,Mixed Nuts (1994),Comedy,1994,parsed,184
276,Milk Money (1994),Comedy|Romance,1994,parsed,185
277,Miracle on 34th Street (1994),Drama,1994,parsed,186
280,Murder in the First (1995),Drama|Thriller,1995,parsed,187
281,Nobody's Fool (1994),Drama,1994,parsed,188
282,Nell (1994),Drama,1994,parsed,189
288,Natural Born Killers (1994),Action|Thriller,1994,parsed,190
289,Only You (1994),Comedy|Romance,1994,parsed,191
290,Once Were Warriors (1994),Crime|Drama,1994,parsed,192
292,Outbreak (1995),Action|Drama|Thriller,1995,parsed,193
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,1994,parsed,194
296,Pulp Fiction (1994),Crime|Drama,1994,parsed,195
299,Priest (1994),Drama,1994,parsed,196
300,Quiz Show (1994),Drama,1994,parsed,197
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,1994,parsed,198
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,1995,parsed,199
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,1994,parsed,200
306,Three Colors: Red (1994),Drama,1994,parsed,201
307,Three Colors: Blue (1993),Drama,1993,parsed,202
308,Three Colors: White (1994),Drama,1994,parsed,203
312,Stuart Saves His Family (1995),Comedy,1995,parsed,204
314,"Secret of Roan Inish, The (1994)",Drama,1994,parsed,205
315,"Specialist, The (1994)",Action,1994,parsed,206
316,Stargate (1994),Action|Adventure|Sci-Fi,1994,parsed,207
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,1994,parsed,208
318,"Shawshank Redemption, The (1994)",Drama,1994,parsed,209
319,Shallow Grave (1994),Thriller,1994,parsed,210
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,1993,parsed,211
322,Swimming with Sharks (1995),Comedy|Drama,1995,parsed,212
326,To Live (Huozhe) (1994),Drama,1994,parsed,213
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,1995,parsed,214
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,1995,parsed,215
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,1994,parsed,216
330,Tales from the Hood (1995),Comedy|Horror,1995,parsed,217
332,Village of the Damned (1995),Horror|Sci-Fi,1995,parsed,218
333,Tommy Boy (1995),Comedy,1995,parsed,219
334,Vanya on 42nd Street (1994),Drama,1994,parsed,220
337,What's Eating Gilbert Grape (1993),Drama,1993,parsed,221
338,Virtuosity (1995),Sci-Fi|Thriller,1995,parsed,222
339,While You Were Sleeping (1995),Comedy|Romance,1995,parsed,223
340,"War, The (1994)",Adventure|Drama,1994,parsed,224
342,Muriel's Wedding (1994),Comedy|Romance,1994,parsed,225
344,Ace Ventura: Pet Detective (1994),Comedy,1994,parsed,226
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,1994,parsed,227
346,Backbeat (1993),Drama|Musical,1993,parsed,228
348,Bullets Over Broadway (1994),Comedy,1994,parsed,229
349,Clear and Present Danger (1994),Action|Adventure|Thriller,1994,parsed,230
350,"Client, The (1994)",Drama|Mystery|Thriller,1994,parsed,231
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,1994,parsed,232
352,Crooklyn (1994),Comedy,1994,parsed,233
353,"Crow, The (1994)",Action|Romance|Thriller,1994,parsed,234
354,Cobb (1994),Drama,1994,parsed,235
355,"Flintstones, The (1994)",Children's|Comedy,1994,parsed,236
356,Forrest Gump (1994),Comedy|Romance|War,1994,parsed,237
357,Four Weddings and a Funeral (1994),Comedy|Romance,1994,parsed,238
358,Higher Learning (1995),Drama,1995,parsed,239
360,I Love Trouble (1994),Action|Comedy,1994,parsed,240
361,It Could Happen to You (1994),Drama|Romance,1994,parsed,241
362,"Jungle Book, The (1994)",Adventure|Children's|Romance,1994,parsed,242
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,1993,parsed,243
364,"Lion King, The (1994)",Animation|Children's|Musical,1994,parsed,244
365,Little Buddha (1993),Drama,1993,parsed,245
366,Wes Craven's New Nightmare (1994),Horror,1994,parsed,246
367,"Mask, The (1994)",Comedy|Crime|Fantasy,1994,parsed,247
368,Maverick (1994),Action|Comedy|Western,1994,parsed,248
370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,1994,parsed,249
371,"Paper, The (1994)",Comedy|Drama,1994,parsed,250
372,Reality Bites (1994),Comedy|Drama,1994,parsed,251
373,Red Rock West (1992),Thriller,1992,parsed,252
374,Richie Rich (1994),Children's|Comedy,1994,parsed,253
376,"River Wild, The (1994)",Action|Thriller,1994,parsed,254
377,Speed (1994),Action|Romance|Thriller,1994,parsed,255
378,Speechless (1994),Comedy|Romance,1994,parsed,256
379,Timecop (1994),Action|Sci-Fi,1994,parsed,257
380,True Lies (1994),Action|Adventure|Comedy|Romance,1994,parsed,258
381,When a Man Loves a Woman (1994),Drama,1994,parsed,259
382,Wolf (1994),Drama|Horror,1994,parsed,260
383,Wyatt Earp (1994),Western,1994,parsed,261
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,1994,parsed,262
388,Boys Life (1995),Drama,1995,parsed,263
393,Street Fighter (1994),Action,1994,parsed,264
405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,1994,parsed,265
407,In the Mouth of Madness (1995),Horror|Thriller,1995,parsed,266
408,8 Seconds (1994),Drama,1994,parsed,267
410,Addams Family Values (1993),Comedy,1993,parsed,268
412,"Age of Innocence, The (1993)",Drama,1993,parsed,269
413,Airheads (1994),Comedy,1994,parsed,270
414,"Air Up There, The (1994)",Comedy,1994,parsed,271
415,Another Stakeout (1993),Comedy|Thriller,1993,parsed,272
416,Bad Girls (1994),Western,1994,parsed,273
417,Barcelona (1994),Comedy|Romance,1994,parsed,274
419,"Beverly Hillbillies, The (1993)",Comedy,1993,parsed,275
420,Beverly Hills Cop III (1994),Action|Comedy,1994,parsed,276
421,Black Beauty (1994),Adventure|Children's,1994,parsed,277
423,Blown Away (1994),Action|Thriller,1994,parsed,278
424,Blue Chips (1994),Drama,1994,parsed,279
425,Blue Sky (1994),Drama|Romance,1994,parsed,280
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,1993,parsed,281
427,Boxing Helena (1993),Mystery|Romance|Thriller,1993,parsed,282
428,"Bronx Tale, A (1993)",Drama,1993,parsed,283
429,Cabin Boy (1994),Comedy,1994,parsed,284
431,Carlito's Way (1993),Crime|Drama,1993,parsed,285
432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,1994,parsed,286
434,Cliffhanger (1993),Action|Adventure|Crime,1993,parsed,287
435,Coneheads (1993),Comedy|Sci-Fi,1993,parsed,288
436,Color of Night (1994),Drama|Thriller,1994,parsed,289
437,Cops and Robbersons (1994),Comedy,1994,parsed,290
438,"Cowboy Way, The (1994)",Action|Comedy,1994,parsed,291
440,Dave (1993),Comedy|Romance,1993,parsed,292
441,Dazed and Confused (1993),Comedy,1993,parsed,293
442,Demolition Man (1993),Action|Sci-Fi,1993,parsed,294
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,1993,parsed,295
445,Fatal Instinct (1993),Comedy,1993,parsed,296
446,Farewell My Concubine (1993),Drama|Romance,1993,parsed,297
448,Fearless (1993),Drama,1993,parsed,298
449,Fear of a Black Hat (1993),Comedy,1993,parsed,299
450,With Honors (1994),Comedy|Drama,1994,parsed,300
451,Flesh and Bone (1993),Drama|Mystery|Romance,1993,parsed,301
453,For Love or Money (1993),Comedy,1993,parsed,302
454,"Firm, The (1993)",Drama|Thriller,1993,parsed,303
455,Free Willy (1993),Adventure|Children's|Drama,1993,parsed,304
456,Fresh (1994),Drama,1994,parsed,305
457,"Fugitive, The (1993)",Action|Thriller,1993,parsed,306
458,Geronimo: An American Legend (1993),Drama|Western,1993,parsed,307
459,"Getaway, The (1994)",Action,1994,parsed,308
461,Go Fish (1994),Drama|Romance,1994,parsed,309
464,Hard Target (1993),Action|Adventure|Crime|Thriller,1993,parsed,310
465,Heaven & Earth (1993),Action|Drama|War,1993,parsed,311
466,Hot Shots! Part Deux (1993),Action|Comedy|War,1993,parsed,312
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,1995,parsed,313
469,"House of the Spirits, The (1993)",Drama|Romance,1993,parsed,314
471,"Hudsucker Proxy, The (1994)",Comedy|Romance,1994,parsed,315
473,In the Army Now (1994),Comedy|War,1994,parsed,316
474,In the Line of Fire (1993),Action|Thriller,1993,parsed,317
475,In the Name of the Father (1993),Drama,1993,parsed,318
477,What's Love Got to Do with It? (1993),Drama,1993,parsed,319
479,Judgment Night (1993),Action,1993,parsed,320
480,Jurassic Park (1993),Action|Adventure|Sci-Fi,1993,parsed,321
481,Kalifornia (1993),Drama|Thriller,1993,parsed,322
482,Killing Zoe (1994),Thriller,1994,parsed,323
483,King of the Hill (1993),Drama,1993,parsed,324
485,Last Action Hero (1993),Action|Comedy,1993,parsed,325
486,Life with Mikey (1993),Comedy,1993,parsed,326
487,Lightning Jack (1994),Comedy|Western,1994,parsed,327
489,Made in America (1993),Comedy,1993,parsed,328
490,Malice (1993),Thriller,1993,parsed,329
491,"Man Without a Face, The (1993)",Drama,1993,parsed,330
492,Manhattan Murder Mystery (1993),Comedy|Mystery,1993,parsed,331
493,Menace II Society (1993),Action|Crime|Drama,1993,parsed,332
494,Executive Decision (1996),Action|Thriller,1996,parsed,333
497,Much Ado About Nothing (1993),Comedy|Romance,1993,parsed,334
500,Mrs. Doubtfire (1993),Comedy,1993,parsed,335
501,Naked (1993),Drama,1993,parsed,336
502,"Next Karate Kid, The (1994)",Action|Children's,1994,parsed,337
504,No Escape (1994),Action|Sci-Fi,1994,parsed,338
505,North (1994),Comedy,1994,parsed,339
506,Orlando (1993),Drama,1993,parsed,340
507,"Perfect World, A (1993)",Action|Drama,1993,parsed,341
508,Philadelphia (1993),Drama,1993,parsed,342
509,"Piano, The (1993)",Drama|Romance,1993,parsed,343
511,"Program, The (1993)",Action|Drama,1993,parsed,344
512,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi,1994,parsed,345
513,Radioland Murders (1994),Comedy|Mystery|Romance,1994,parsed,346
514,"Ref, The (1994)",Comedy,1994,parsed,347
515,"Remains of the Day, The (1993)",Drama,1993,parsed,348
516,Renaissance Man (1994),Comedy|Drama|War,1994,parsed,349
517,Rising Sun (1993),Action|Drama|Mystery,1993,parsed,350
518,"Road to Wellville, The (1994)",Comedy,1994,parsed,351
519,Robocop 3 (1993),Sci-Fi|Thriller,1993,parsed,352
520,Robin Hood: Men in Tights (1993),Comedy,1993,parsed,353
521,Romeo Is Bleeding (1993),Crime|Thriller,1993,parsed,354
522,Romper Stomper (1992),Action|Drama,1992,parsed,355
523,Ruby in Paradise (1993),Drama,1993,parsed,356
524,Rudy (1993),Drama,1993,parsed,357
527,Schindler's List (1993),Drama|War,1993,parsed,358
528,"Scout, The (1994)",Drama,1994,parsed,359
529,Searching for Bobby Fischer (1993),Drama,1993,parsed,360
531,"Secret Garden, The (1993)",Children's|Drama,1993,parsed,361
532,Serial Mom (1994),Comedy|Crime|Horror,1994,parsed,362
533,"Shadow, The (1994)",Action,1994,parsed,363
534,Shadowlands (1993),Drama|Romance,1993,parsed,364
535,Short Cuts (1993),Drama,1993,parsed,365
537,Sirens (1994),Comedy|Drama,1994,parsed,366
538,Six Degrees of Separation (1993),Drama,1993,parsed,367
539,Sleepless in Seattle (1993),Comedy|Romance,1993,parsed,368
540,Sliver (1993),Thriller,1993,parsed,369
541,Blade Runner (1982),Film-Noir|Sci-Fi,1982,parsed,370
542,Son in Law (1993),Comedy,1993,parsed,371
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,1993,parsed,372
544,Striking Distance (1993),Action,1993,parsed,373
546,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi,1993,parsed,374
547,Surviving the Game (1994),Action|Adventure|Thriller,1994,parsed,375
548,Terminal Velocity (1994),Action,1994,parsed,376
549,Thirty-Two Short Films About Glenn Gould (1993),Documentary,1993,parsed,377
550,Threesome (1994),Comedy|Romance,1994,parsed,378
551,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,1993,parsed,379
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy,1993,parsed,380
553,Tombstone (1993),Western,1993,parsed,381
555,True Romance (1993),Action|Crime|Romance,1993,parsed,382
556,"War Room, The (1993)",Documentary,1993,parsed,383
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy,1994,parsed,384
562,Welcome to the Dollhouse (1995),Comedy|Drama,1995,parsed,385
565,Cronos (1992),Horror,1992,parsed,386
569,Little Big League (1994),Children's|Comedy,1994,parsed,387
574,Spanking the Monkey (1994),Comedy|Drama,1994,parsed,388
575,"Little Rascals, The (1994)",Children's|Comedy,1994,parsed,389
580,Princess Caraboo (1994),Drama,1994,parsed,390
581,"Celluloid Closet, The (1995)",Documentary,1995,parsed,391
585,"Brady Bunch Movie, The (1995)",Comedy,1995,parsed,392
586,Home Alone (1990),Children's|Comedy,1990,parsed,393
587,Ghost (1990),Comedy|Romance|Thriller,1990,parsed,394
588,Aladdin (1992),Animation|Children's|Comedy|Musical,1992,parsed,395
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,1991,parsed,396
590,Dances with Wolves (1990),Adventure|Drama|Western,1990,parsed,397
592,Batman (1989),Action|Adventure|Crime|Drama,1989,parsed,398
593,"Silence of the Lambs, The (1991)",Drama|Thriller,1991,parsed,399
594,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,1937,parsed,400
595,Beauty and the Beast (1991),Animation|Children's|Musical,1991,parsed,401
596,Pinocchio (1940),Animation|Children's,1940,parsed,402
597,Pretty Woman (1990),Comedy|Romance,1990,parsed,403
599,"Wild Bunch, The (1969)",Western,1969,parsed,404
605,One Fine Day (1996),Drama|Romance,1996,parsed,405
606,Candyman: Farewell to the Flesh (1995),Horror,1995,parsed,406
608,Fargo (1996),Crime|Drama|Thriller,1996,parsed,407
609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children's,1996,parsed,408
610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,1981,parsed,409
611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi,1996,parsed,410
612,"Pallbearer, The (1996)",Comedy,1996,parsed,411
613,Jane Eyre (1996),Drama|Romance,1996,parsed,412
615,Bread and Chocolate (Pane e cioccolata) (1973),Drama,1973,parsed,413
616,"Aristocats, The (1970)",Animation|Children's,1970,parsed,414
627,"Last Supper, The (1995)",Drama|Thriller,1995,parsed,415
628,Primal Fear (1996),Drama|Thriller,1996,parsed,416
631,All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical,1996,parsed,417
635,"Family Thing, A (1996)",Comedy|Drama,1996,parsed,418
637,Sgt. Bilko (1996),Comedy,1996,parsed,419
639,Girl 6 (1996),Comedy,1996,parsed,420
640,Diabolique (1996),Drama|Thriller,1996,parsed,421
647,Courage Under Fire (1996),Drama|War,1996,parsed,422
648,Mission: Impossible (1996),Action|Adventure|Mystery,1996,parsed,423
650,Moll Flanders (1996),Drama,1996,parsed,424
653,Dragonheart (1996),Action|Adventure|Fantasy,1996,parsed,425
661,James and the Giant Peach (1996),Animation|Children's|Musical,1996,parsed,426
662,Fear (1996),Thriller,1996,parsed,427
663,Kids in the Hall: Brain Candy (1996),Comedy,1996,parsed,428
671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,1996,parsed,429
673,Space Jam (1996),Adventure|Animation|Children's|Comedy|Fantasy,1996,parsed,430
674,Barbarella (1968),Adventure|Sci-Fi,1968,parsed,431
678,Some Folks Call It a Sling Blade (1993),Drama|Thriller,1993,parsed,432
680,Alphaville (1965),Sci-Fi,1965,parsed,433
688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,1995,parsed,434
691,Mrs. Winterbourne (1996),Comedy|Romance,1996,parsed,435
692,Solo (1996),Action|Sci-Fi|Thriller,1996,parsed,436
694,"Substitute, The (1996)",Action,1996,parsed,437
695,True Crime (1995),Mystery|Thriller,1995,parsed,438
