family,model_label,seed,bundle_id,source_status,artifact,present,verified,rows,sha256
dgd,DGD,9999,20260717T024945-s9999-a305b145acdf,PASS,validation_thresholds,True,True,4,6291a2c20591c9389c1bac076c74a59bf3d93f7c6567060c40aee3063fb27f51
dgd,DGD,9999,20260717T024945-s9999-a305b145acdf,PASS,evaluation_predictions,True,True,230276,61a15dbcf51abee73fc16a22dccbe4a8bb63f58f215c3ad0a7bbfda7ca579842
dgd_ablation,DGD-Ablation:selected,2025,20260717T092420073050-s2025-75f7b01c8e68,PASS,evaluation_metrics,True,True,16,454127ae48d52ec459925356ba7a957a65c2590f8108fba46e793b7aa1eca2dd
dgd_ablation,DGD-Ablation:selected,2025,20260717T092420073050-s2025-75f7b01c8e68,PASS,validation_thresholds,True,True,16,33caae483fd542aa470feb98c1118479508f9779f4a8498c24c4afd55a183426
dgd_ablation,DGD-Ablation:selected,2025,20260717T092420073050-s2025-75f7b01c8e68,PASS,evaluation_predictions,True,True,921104,7cab6bbed52a7c418808801adc7f994adc8d47b0398ec661456a0e969650ee61
dgd_ablation,DGD-Ablation:selected,3407,20260717T093052917408-s3407-4a9f13e76ffa,PASS,evaluation_metrics,True,True,16,e509375299b8277c30bccb725f9642237ca94ab948551fd0892ba06d690f98b4
dgd_ablation,DGD-Ablation:selected,3407,20260717T093052917408-s3407-4a9f13e76ffa,PASS,validation_thresholds,True,True,16,d5d451aadff62c9b8fa7d95c8289d3aae34e545ee435330ee185cefcd8184766
dgd_ablation,DGD-Ablation:selected,3407,20260717T093052917408-s3407-4a9f13e76ffa,PASS,evaluation_predictions,True,True,921104,554658fc99f67d8f6f53b76165e9b97eee153dc18cbae1b2366c3d78e7e0ee82
dgd_ablation,DGD-Ablation:selected,4517,20260717T093303293824-s4517-7c7a3b23ea6a,PASS,evaluation_metrics,True,True,16,841e975005e1488cd2b5b834c75f500320345d6671d63fce0d919d5ec8b76c77
dgd_ablation,DGD-Ablation:selected,4517,20260717T093303293824-s4517-7c7a3b23ea6a,PASS,validation_thresholds,True,True,16,f493a55953de1fabe56bc3537ed9c16922f03387fb743990e4546d5fc6704bb1
dgd_ablation,DGD-Ablation:selected,4517,20260717T093303293824-s4517-7c7a3b23ea6a,PASS,evaluation_predictions,True,True,921104,5fef386f4dfea562ae22541ee45fcb09bbfe80c0962d90201819e916a79cec0e
dgd_ablation,DGD-Ablation:selected,7788,20260717T092630959985-s7788-c9f48749bb02,PASS,evaluation_metrics,True,True,16,28d4160f2a58304bbbcda621301ed230ca0b845cd9375652237657ad14e076eb
dgd_ablation,DGD-Ablation:selected,7788,20260717T092630959985-s7788-c9f48749bb02,PASS,validation_thresholds,True,True,16,4f2118cf37c5b4e59891c5ad9b946ff35776da579d42f72ec5960dc87ef96f4d
dgd_ablation,DGD-Ablation:selected,7788,20260717T092630959985-s7788-c9f48749bb02,PASS,evaluation_predictions,True,True,921104,9d5c692b718bd1ff167f64b10e22cdcf92b389d1fb36c2f66ab9239ab5621e7d
dgd_ablation,DGD-Ablation:selected,9999,20260717T092842016218-s9999-5acda38d290e,PASS,evaluation_metrics,True,True,16,ec4f395a740b8394649effbc1422efba459c9cd5936b617c54e233f4c3297f85
dgd_ablation,DGD-Ablation:selected,9999,20260717T092842016218-s9999-5acda38d290e,PASS,validation_thresholds,True,True,16,5f9182af4bef9e8b2eaf2a1874a7da7cabbc48ee79dbca939a10c9c5f8ec8fb4
dgd_ablation,DGD-Ablation:selected,9999,20260717T092842016218-s9999-5acda38d290e,PASS,evaluation_predictions,True,True,921104,0515879e3a98500198af25ec2ea4cef6da53a6e0ffc691b8ffcca8805b0ecf75
emerg,EmerG,2025,20260717T053254-s2025-0c7949225aa0,PASS,evaluation_metrics,True,True,4,ea5b1149a5fa124685e3727c9917ecd568f74d797063bce466fe03ebddb42940
emerg,EmerG,2025,20260717T053254-s2025-0c7949225aa0,PASS,validation_thresholds,True,True,4,b0cedfdd1f78bfa71e4efa172a6b8eee26c34a3cc6cc70367a33101e212150f4
emerg,EmerG,2025,20260717T053254-s2025-0c7949225aa0,PASS,evaluation_predictions,True,True,230276,f426aab9344d7855d53afafcea3cf1703af7c1d7e615d4beb5a6374d163d17fb
emerg,EmerG,3407,20260717T053447-s3407-179d309665a5,PASS,evaluation_metrics,True,True,4,b77700c18994304151c77bd4f9813319c574338ef0e45e22fedc16bfab349cca
emerg,EmerG,3407,20260717T053447-s3407-179d309665a5,PASS,validation_thresholds,True,True,4,d4d2976726edf2d402e804f10faa62d23d135194727e8cf6e9a0efc01793ce80
emerg,EmerG,3407,20260717T053447-s3407-179d309665a5,PASS,evaluation_predictions,True,True,230276,0af1b7f3f192147305146c92f309560e5983be1c110be8b2e860a8348c4d3d18
emerg,EmerG,4517,20260717T053525-s4517-73f38546870a,PASS,evaluation_metrics,True,True,4,a57a9f729f8a58335f274584a0c02d3dce63549a8288840d7635d4ae47bd50d8
emerg,EmerG,4517,20260717T053525-s4517-73f38546870a,PASS,validation_thresholds,True,True,4,2f66e8da621906f377d3e0f8cf55e593ef19cbf505886c2620b6fd16fb28bb11
emerg,EmerG,4517,20260717T053525-s4517-73f38546870a,PASS,evaluation_predictions,True,True,230276,5e6134a23dc5fb373a56d8f1cd585787e83c240aa8606d0ead7611723f6bcba5
emerg,EmerG,7788,20260717T053333-s7788-a3a10db1ee40,PASS,evaluation_metrics,True,True,4,9a72f1e2f73608ba76c1b93e897f429b36cb42973b6cfbd210c784ef008be113
emerg,EmerG,7788,20260717T053333-s7788-a3a10db1ee40,PASS,validation_thresholds,True,True,4,077fea370a0cbdf2199282c3737ce098ebaceddaf2a8b3994955fafd75ea2135
emerg,EmerG,7788,20260717T053333-s7788-a3a10db1ee40,PASS,evaluation_predictions,True,True,230276,ef0935f879dcbc614637685f28fc3f4c657b5b07ba64dd336835589825e813ce
emerg,EmerG,9999,20260717T053411-s9999-0b7345acfb18,PASS,evaluation_metrics,True,True,4,e60351d581118f7954d8f5fcfac4a3c8e756bce18bf477fad0892cc4c1791490
emerg,EmerG,9999,20260717T053411-s9999-0b7345acfb18,PASS,validation_thresholds,True,True,4,478dd6ac243f950a896b5b1b2967370217ded6c25b9550b53e2300255fc26d5e
emerg,EmerG,9999,20260717T053411-s9999-0b7345acfb18,PASS,evaluation_predictions,True,True,230276,0e811fa5912ad31d69c6a0bdc5455878e5cfedddfb5c9f01d54d5a4148b86016
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,WARN,evaluation_metrics,True,True,4,3a15fe51b08b3dee5c57abc35615e821dc5a0eac94e21e9b8aca8f343021dc63
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,WARN,validation_thresholds,True,True,4,b70d77edf1971c8677423571d773ab3f13cbcc79431f0b8536faa7df3d7bf8f5
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,WARN,evaluation_predictions,True,True,230276,ac5b996aa35c914b9b706fdfbea153d955c6ae664f4075c81c35d016a4b7d31c
lightgcn,LightGCN,3407,20260716T183408-s3407-d3c5f4a86f19,WARN,evaluation_metrics,True,True,4,66f67458866396e487e785943f6d4620f85dbbd407c79be435d4cd68678ab579
lightgcn,LightGCN,3407,20260716T183408-s3407-d3c5f4a86f19,WARN,validation_thresholds,True,True,4,96b4686e44a3c270691166a2ebe5ad401e367b2025b00a805a651649305902ae
lightgcn,LightGCN,3407,20260716T183408-s3407-d3c5f4a86f19,WARN,evaluation_predictions,True,True,230276,e7f5e75fb9d000f984c88874d94dadcd38e92cc412157c2b4cdf2677a6cc0fab
lightgcn,LightGCN,4517,20260716T183419-s4517-388725ed3236,WARN,evaluation_metrics,True,True,4,041d5fb277cd8b18139bcc5a759db5b2994b1b4ba393f36248e7b117bcbb9dad
lightgcn,LightGCN,4517,20260716T183419-s4517-388725ed3236,WARN,validation_thresholds,True,True,4,e97073472eaec4199d01ba79a97fe0225d5a01f744e28907efe6aebdba3f76c0
lightgcn,LightGCN,4517,20260716T183419-s4517-388725ed3236,WARN,evaluation_predictions,True,True,230276,b239824b5a43e26c1715cca5ddb9f212c5331f1646036070a356d2c778b74d3f
lightgcn,LightGCN,7788,20260716T183349-s7788-055a93bf6705,WARN,evaluation_metrics,True,True,4,ee91413e19cbea88618f6d1c8c33a39dca0aa872a1696e207e985d1f69759a98
lightgcn,LightGCN,7788,20260716T183349-s7788-055a93bf6705,WARN,validation_thresholds,True,True,4,bb92c658e8ec6c4e9e32a4474ea0fe95a7c7193ad8a7bb2360ef0af504da7267
lightgcn,LightGCN,7788,20260716T183349-s7788-055a93bf6705,WARN,evaluation_predictions,True,True,230276,d054fa7122a350433e420768ff9220052ad41e18663e180583a523876d12f2bd
lightgcn,LightGCN,9999,20260716T183359-s9999-6cc7ff772669,WARN,evaluation_metrics,True,True,4,36983dee07f36c646da3434b7387d3a1a3327901f82a66f396ee9266b6d42782
lightgcn,LightGCN,9999,20260716T183359-s9999-6cc7ff772669,WARN,validation_thresholds,True,True,4,77305650e65c96355c9d7670f2f3712a5957d772646948bbc61a558e32fb1e8b
lightgcn,LightGCN,9999,20260716T183359-s9999-6cc7ff772669,WARN,evaluation_predictions,True,True,230276,3e9480909ad3f831cd384bb47c7158cf9ce82ce3b190b7b734976db28f4c8b15
