family,model_label,selected_variant,prediction_scope,source_status,schema_version,seed,bundle_id,created_at_utc,protocol_schema_version,protocol_pointer_sha256,manifest_path
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,2025,20260717T053254-s2025-0c7949225aa0,2026-07-17T05:33:33.612085+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260717T053254-s2025-0c7949225aa0/manifest.json
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,3407,20260717T053447-s3407-179d309665a5,2026-07-17T05:35:25.481810+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260717T053447-s3407-179d309665a5/manifest.json
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,4517,20260717T053525-s4517-73f38546870a,2026-07-17T05:36:02.263466+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260717T053525-s4517-73f38546870a/manifest.json
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,7788,20260717T053333-s7788-a3a10db1ee40,2026-07-17T05:34:11.079597+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260717T053333-s7788-a3a10db1ee40/manifest.json
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,9999,20260717T053411-s9999-0b7345acfb18,2026-07-17T05:34:47.737519+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260717T053411-s9999-0b7345acfb18/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,2025,20260716T183339-s2025-a370f5a1659c,2026-07-16T18:33:40.706673+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183339-s2025-a370f5a1659c/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,3407,20260716T183408-s3407-d3c5f4a86f19,2026-07-16T18:34:09.727610+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183408-s3407-d3c5f4a86f19/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,4517,20260716T183419-s4517-388725ed3236,2026-07-16T18:34:20.455619+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183419-s4517-388725ed3236/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,7788,20260716T183349-s7788-055a93bf6705,2026-07-16T18:33:50.335332+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183349-s7788-055a93bf6705/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,9999,20260716T183359-s9999-6cc7ff772669,2026-07-16T18:34:00.208508+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183359-s9999-6cc7ff772669/manifest.json
