family,model_label,selected_variant,prediction_scope,source_status,schema_version,seed,bundle_id,created_at_utc,protocol_schema_version,protocol_pointer_sha256,manifest_path
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,2025,20260716T183549-s2025-cbe59f5ab1d1,2026-07-16T18:36:27.923226+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260716T183549-s2025-cbe59f5ab1d1/manifest.json
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,3407,20260716T183743-s3407-f657f7e81b02,2026-07-16T18:38:21.535229+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260716T183743-s3407-f657f7e81b02/manifest.json
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,4517,20260716T183821-s4517-93c4e3d2a257,2026-07-16T18:38:59.783188+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260716T183821-s4517-93c4e3d2a257/manifest.json
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,7788,20260716T183628-s7788-61d13741e884,2026-07-16T18:37:05.760267+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260716T183628-s7788-61d13741e884/manifest.json
emerg,EmerG,,active_model,PASS,emerg-baseline-v1,9999,20260716T183705-s9999-3128f214418f,2026-07-16T18:37:43.746011+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/emerg-v1/generations/20260716T183705-s9999-3128f214418f/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,2025,20260716T183339-s2025-a370f5a1659c,2026-07-16T18:33:40.706673+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183339-s2025-a370f5a1659c/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,3407,20260716T183408-s3407-d3c5f4a86f19,2026-07-16T18:34:09.727610+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183408-s3407-d3c5f4a86f19/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,4517,20260716T183419-s4517-388725ed3236,2026-07-16T18:34:20.455619+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183419-s4517-388725ed3236/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,7788,20260716T183349-s7788-055a93bf6705,2026-07-16T18:33:50.335332+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183349-s7788-055a93bf6705/manifest.json
lightgcn,LightGCN,,active_model,WARN,lightgcn-baseline-v1,9999,20260716T183359-s9999-6cc7ff772669,2026-07-16T18:34:00.208508+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/lightgcn-v1/generations/20260716T183359-s9999-6cc7ff772669/manifest.json
